,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
1621,654990,Dude Simulator,2017-07-13 00:00:00,5500,6.0,6.0,Action,0.0,0.0,Simulation,1.0,0.0,0.0,,,single only,1071,724,10.1,2571,
1622,655000,Masked Forces 2: Mystic Demons,2017-09-15 00:00:00,5500,5.0,5.0,Action,0.0,35.0,Action,1.0,0.0,1.0,,mixed,single only,44,18,0.0,4,90.9
1623,655030,Simple Light Cycles,2017-06-17 00:00:00,0,5.0,5.0,Action,0.0,10.0,Indie,1.0,0.0,0.0,,mostly positive,,14,6,,,61.6
1624,655040,Deltaplan Simulator,2017-08-03 00:00:00,5500,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,mixed,single only,10,6,,,
1625,655080,Crazy Ball Adventures,2017-07-21 00:00:00,1100,5.0,5.0,Adventure,0.0,6.0,Indie,1.0,0.0,1.0,,very positive,single only,144,26,0.2,6,92.6
1626,655100,Oik 3,2017-11-09 00:00:00,1100,4.0,4.0,Casual,0.0,5000.0,Puzzle,29.0,0.0,0.0,very positive,very positive,single only,588,79,9.5,1480,48.1
1627,655110,Final Prophet,,,6.0,6.0,Action,0.0,0.0,RPG,1.0,0.0,0.0,,no user reviews,single only,,,,,
1628,655120,Space Hero Line,2017-08-24 00:00:00,5500,4.0,4.0,Adventure,0.0,0.0,Indie,5.0,0.0,0.0,,mixed,single only,49,28,,,
1629,655160,welcome to heaven,2017-06-23 00:00:00,0,6.0,6.0,Adventure,0.0,0.0,Free to Play,1.0,0.0,0.0,,mostly positive,single only,367,140,,,
1630,655170,Telepathy Zero,2017-07-22 00:00:00,0,6.0,6.0,Casual,0.0,9.0,Indie,4.0,0.0,0.0,,mostly negative,single only,21,35,,,79.0
1631,655180,ThinkAhead,2017-07-14 00:00:00,2200,6.0,6.0,Casual,0.0,0.0,Casual,1.0,0.0,0.0,,3 user reviews,single only,9,3,0.0,1,
1632,655200,Arena,2017-08-02 00:00:00,4400,6.0,6.0,Action,0.0,10.0,Action,1.0,0.0,0.0,,3 user reviews,,5,0,0.0,2,7.0
1633,655220,Freedom: A Time to Reckon,2017-11-11 00:00:00,1100,6.0,6.0,Action,0.0,0.0,Action,2.0,0.0,0.0,,6 user reviews,single only,5,5,,,
1634,655250,Insectophobia : Episode 1,2017-07-04 00:00:00,1100,4.0,4.0,Action,0.0,9.0,Platformer,17.0,0.0,0.0,,mostly negative,single only,12,21,,,73.9
1635,655270,EPONYMOUS,2017-10-31 00:00:00,3300,5.0,5.0,Adventure,0.0,0.0,Surreal,1.0,0.0,0.0,,mixed,single only,33,14,,,
1636,655280,Ping,2017-06-16 00:00:00,0,6.0,6.0,Action,0.0,0.0,Indie,1.0,0.0,0.0,,mostly positive,single only,23,6,,,
1637,655290,Escape The Pacific,2018-02-24 00:00:00,15500,6.0,6.0,Action,0.0,83.0,Open World Survival Craft,5.0,0.0,0.0,very positive,mostly positive,single only,410,156,27.7,182,50.3
1638,655360,Aftermath Y2K,2017-07-11 00:00:00,5500,6.0,6.0,Action,0.0,10.0,Action,1.0,0.0,0.0,,2 user reviews,single only,2,1,0.0,2,27.5
1639,655370,Train Bandit,2017-10-13 00:00:00,1100,6.0,5.0,Action,0.0,12.0,Indie,10.0,0.0,0.0,,positive,single only,52,5,,,73.3
1640,655380,Dig Dog,2018-02-09 00:00:00,4400,6.0,5.0,Action,0.0,14.0,Action Roguelike,11.0,0.0,0.0,,mostly positive,single only,59,16,,,53.3
1641,655420,Simple RTS,2017-06-16 00:00:00,5500,6.0,6.0,Indie,0.0,0.0,Strategy,1.0,0.0,0.0,,positive,single only,12,2,,,
1642,655430,Tiger Hunt,2002-08-25 00:00:00,3300,6.0,6.0,Action,0.0,0.0,Casual,1.0,0.0,0.0,,mostly positive,single only,11,3,,,
1643,655440,Panzer Killer,2007-11-08 00:00:00,3300,6.0,6.0,Action,0.0,0.0,Casual,1.0,0.0,0.0,,mixed,single only,8,4,,,
1644,655460,Hooligan Vasja: Halloween,2017-07-09 00:00:00,1100,6.0,6.0,Action,0.0,24.0,Action,11.0,0.0,0.0,,mostly negative,single only,22,48,,,80.7
