,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
32,246420,1,Kingdom Rush - Tower Defense,2014-01-07,10500.0,2,2,Strategy,0,74,Tower Defense,10,0,0,overwhelmingly positive,overwhelmingly positive,single only,9499,288,177.3,1950.0,92.3
33,732690,1,FIVE NIGHTS AT FREDDY'S: HELP WANTED,2019-05-28,31000.0,5,6,Action,0,15,Horror,11,0,1,overwhelmingly positive,overwhelmingly positive,single only,8152,270,39.0,844.0,88.8
34,1082430,1,Before Your Eyes,2021-04-08,10500.0,6,3,Adventure,0,11,Emotional,8,0,1,overwhelmingly positive,overwhelmingly positive,single only,8157,179,17.9,491.0,65.4
35,367580,1,Hook,2015-01-25,2200.0,5,5,Casual,0,0,Casual,27,0,0,very positive,overwhelmingly positive,single only,8240,251,7.1,261.0,
36,1318690,1,shapez,2020-06-07,13000.0,5,5,Casual,1,45,Automation,24,0,1,very positive,overwhelmingly positive,single only,7732,219,409.6,2582.0,70.8
37,667970,1,VTOL VR,2017-08-04,32000.0,6,6,Action,0,0,Flight,4,0,1,overwhelmingly positive,overwhelmingly positive,single and multi,7256,176,353.3,1054.0,
38,601220,1,Zup! F,2019-12-11,1100.0,4,4,Casual,0,640,Casual,29,0,0,very positive,overwhelmingly positive,single only,7347,196,24.2,751.0,66.9
39,1406990,1,NEKOPARA Vol. 4,2020-11-27,10500.0,6,1,Adventure,0,19,Sexual Content,3,0,1,overwhelmingly positive,overwhelmingly positive,single only,7117,171,50.5,2512.0,90.1
40,909080,1,Cube Escape: Paradox,2018-09-20,0.0,1,1,Adventure,0,28,Puzzle,14,0,1,overwhelmingly positive,overwhelmingly positive,single only,6650,176,90.8,1828.0,77.7
41,435400,1,Hidden Folks,2017-02-15,13500.0,5,5,Adventure,0,8,Hidden Object,23,0,1,very positive,overwhelmingly positive,single only,7811,268,32.7,747.0,41.0
42,1604000,1,Milk outside a bag of milk outside a bag of milk,2021-12-16,9500.0,6,6,Casual,0,10,Visual Novel,9,0,1,overwhelmingly positive,overwhelmingly positive,single only,5486,160,35.3,297.0,75.9
43,1239080,1,Door Kickers 2: Task Force North,2020-11-04,26000.0,4,4,Action,1,0,Strategy,1,0,0,very positive,overwhelmingly positive,single and multi,5471,173,324.2,900.0,
44,558990,1,Opus Magnum,2017-12-08,20500.0,2,2,Indie,0,5,Puzzle,12,0,0,very positive,overwhelmingly positive,single only,4666,123,133.7,890.0,50.9
45,434170,1,The Jackbox Party Pack 3,2016-10-18,27000.0,2,2,Casual,0,20,Trivia,1,0,1,very positive,overwhelmingly positive,single and multi,4640,135,237.1,10894.0,66.9
46,1172450,1,Carto,2020-10-27,0.0,6,2,Adventure,0,20,Indie,9,0,1,overwhelmingly positive,overwhelmingly positive,single only,4654,135,44.4,909.0,80.1
47,348550,1,GUILTY GEAR XX ACCENT CORE PLUS R,2015-05-27,16000.0,2,2,Action,0,30,Fighting,8,0,0,very positive,overwhelmingly positive,single only,4701,164,147.3,2330.0,91.4
48,1218900,1,Zup! Z,2020-12-22,1100.0,4,4,Casual,0,512,Puzzle,29,0,0,very positive,overwhelmingly positive,single only,3462,95,16.4,1272.0,57.9
49,483980,1,Mad Father,2016-09-23,10500.0,6,2,Adventure,0,21,RPGMaker,6,0,0,very positive,overwhelmingly positive,single only,3453,99,12.8,230.0,80.1
50,1764390,1,BAD END THEATER,2021-10-27,10500.0,4,4,Simulation,0,48,Story Rich,17,0,1,overwhelmingly positive,overwhelmingly positive,single only,3228,80,13.7,149.0,98.4
51,1079260,1,Fireworks Mania - An Explosive Simulator,2020-12-18,12500.0,5,5,Action,0,0,Sandbox,17,0,0,overwhelmingly positive,overwhelmingly positive,single only,3043,94,102.8,764.0,
52,370360,1,TIS-100,2015-07-21,7500.0,2,2,Indie,0,10,Programming,1,0,0,very positive,overwhelmingly positive,single only,3357,109,24.0,468.0,89.8
53,1337010,1,Alba: A Wildlife Adventure,2020-12-11,17500.0,4,4,Adventure,0,9,Casual,14,0,0,overwhelmingly positive,overwhelmingly positive,single only,3082,68,17.5,192.0,96.3
54,648100,1,Raging Loop,2017-08-24,32000.0,4,4,Adventure,0,0,Adventure,2,0,0,overwhelmingly positive,overwhelmingly positive,single only,2917,84,110.7,429.0,
55,1104380,1,The Room VR: A Dark Matter,2020-03-26,31000.0,2,2,Adventure,0,6,Adventure,10,0,0,very positive,overwhelmingly positive,single only,2713,66,9.4,137.0,84.9
56,397740,1,Hylics,2015-10-03,3300.0,6,6,Indie,0,0,Indie,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,2865,60,9.7,74.0,
57,1058830,1,Spin Rhythm XD,2019-10-22,20000.0,6,6,Action,1,42,Rhythm,11,0,1,very positive,overwhelmingly positive,single only,2382,77,34.6,309.0,34.6
58,990630,1,The Last Campfire,2021-10-07,15500.0,2,2,Adventure,0,22,Adventure,14,0,0,overwhelmingly positive,overwhelmingly positive,single only,2538,61,47.2,299.0,92.0
59,251290,1,The Legend of Heroes: Trails in the Sky SC,2015-10-30,32000.0,6,2,RPG,0,23,JRPG,1,0,0,very positive,overwhelmingly positive,single only,2338,50,92.1,820.0,78.8
60,995460,1,Miracle Snack Shop,2018-12-26,10500.0,3,3,Casual,0,0,Dating Sim,3,0,1,,overwhelmingly positive,single only,2075,54,,,
61,1123450,1,Chicory: A Colorful Tale,2021-06-11,20500.0,6,3,Adventure,0,33,Indie,7,0,1,overwhelmingly positive,overwhelmingly positive,single and multi,1832,39,41.5,313.0,93.7
62,1522870,1,Supraland Six Inches Under,2022-01-14,20500.0,4,4,Adventure,0,53,Puzzle,15,0,0,very positive,overwhelmingly positive,single only,1579,45,70.2,1964.0,98.3
63,604330,1,The Crown of Leaves,2018-11-27,5500.0,4,6,Adventure,0,33,Adventure,2,0,1,very positive,overwhelmingly positive,single only,1485,43,4.2,254.0,60.7
64,1510030,1,Knights College,2021-01-15,26000.0,6,6,Adventure,0,9,LGBTQ+,5,0,0,very positive,overwhelmingly positive,single only,1331,34,19.5,570.0,89.5
65,1421790,1,Labyrinth City: Pierre the Maze Detective,2021-06-22,12500.0,6,5,Adventure,0,41,Adventure,10,0,0,very positive,overwhelmingly positive,single only,1439,45,15.8,535.0,49.0
66,615120,1,COMPOUND,2022-07-20,,6,6,Action,1,21,Action,1,0,0,very positive,overwhelmingly positive,single only,1213,31,13.8,156.0,10.8
67,1111370,1,A Summer's End - Hong Kong 1986,2020-04-23,15500.0,6,6,Casual,0,0,Indie,3,0,1,very positive,overwhelmingly positive,single only,1217,38,7.6,86.0,
68,402620,1,Kindred Spirits on the Roof,2016-02-13,38000.0,5,2,Adventure,0,0,Visual Novel,2,0,1,very positive,overwhelmingly positive,single only,1048,30,7.4,225.0,
69,1999360,1,Placid Plastic Duck Simulator,2022-07-06,2200.0,6,6,Casual,0,15,Immersive Sim,13,0,0,,overwhelmingly positive,single only,939,24,240.7,535.0,86.7
70,410890,1,Higurashi When They Cry Hou - Ch.2 Watanagashi,2015-11-14,8500.0,3,2,Adventure,0,15,Visual Novel,2,0,0,very positive,overwhelmingly positive,single only,873,29,11.9,164.0,53.0
71,1562700,1,SANABI,2022-06-21,15500.0,2,2,Action,1,0,Action,7,0,0,overwhelmingly positive,overwhelmingly positive,single only,786,19,48.9,413.0,
72,1080750,1,Mutazione,2019-09-19,20500.0,6,4,Adventure,0,20,Relaxing,15,0,1,very positive,overwhelmingly positive,single only,634,21,8.2,49.0,83.9
